Name,Business Id,Rating,Url,State,Country,Latitude,Longitude,Lookup,Concatenated Key,Check
Lookout Mountain Park,57uolAyk2Rsommc-lbJONQ,4.5,https://www.yelp.com/biz/lookout-mountain-park-golden?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.73,-105.24,#N/A,39.73-105.24,#N/A
Rocky Mountain Arsenal,y8z-2T4LZ59V8gXKAJi5cg,4.5,https://www.yelp.com/biz/rocky-mountain-arsenal-commerce-city-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.84,-104.84,#N/A,39.84-104.84,#N/A
Colorado Sightseer,yE4oKc8ExPKHjaSNk716qQ,5,https://www.yelp.com/biz/colorado-sightseer-denver?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.71,-104.92,#N/A,39.71-104.92,#N/A
Washington Park,UoOtLYHiFQ-YddErihyVHw,4.5,https://www.yelp.com/biz/washington-park-denver?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.69,-104.97,#N/A,39.69-104.97,#N/A
Mount Evans Scenic Byway,w-hrwfysoe500McYrAj7ew,5,https://www.yelp.com/biz/mount-evans-scenic-byway-evergreen?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.59,-105.64,#N/A,39.59-105.64,#N/A
Chautauqua Park,t_otqZbyn85uswzbNL-Izg,5,https://www.yelp.com/biz/chautauqua-park-boulder-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,40,-105.28,#N/A,40-105.28,#N/A
Eldorado Canyon State Park,AtlR4VtW-pIBcB3wqwhYjQ,4.5,https://www.yelp.com/biz/eldorado-canyon-state-park-eldorado-springs?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.93,-105.28,#N/A,39.93-105.28,#N/A
Red Rocks Amphitheatre,wvdEY6XWwVAKUehFaY6Ewg,4.5,https://www.yelp.com/biz/red-rocks-amphitheatre-morrison-5?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.67,-105.2,#N/A,39.67-105.2,#N/A
Golden Gate Canyon State Park,7cJ5_lUOlITe1KVd6euY8w,4.5,https://www.yelp.com/biz/golden-gate-canyon-state-park-golden-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.83,-105.41,#N/A,39.83-105.41,#N/A
Red Rocks Park,BwVql8l7rZ0_jRCDNQrWAA,5,https://www.yelp.com/biz/red-rocks-park-morrison?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.67,-105.2,#N/A,39.67-105.2,#N/A
Dinosaur Ridge,GvIOuA7C1E9zphBrJBrGtQ,4,https://www.yelp.com/biz/dinosaur-ridge-morrison?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.69,-105.19,#N/A,39.69-105.19,#N/A
Cherry Creek State Park- Off Leash Dog Area,IJfvWW12oYFO_zOIG632eQ,4.5,https://www.yelp.com/biz/cherry-creek-state-park-off-leash-dog-area-aurora?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.65,-104.83,#N/A,39.65-104.83,#N/A
Castlewood Canyon State Park,XbcQRMgUcrhf1hSh9HpwhQ,4.5,https://www.yelp.com/biz/castlewood-canyon-state-park-franktown?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.33,-104.73,#N/A,39.33-104.73,#N/A
Roxborough State Park,pmhj7SUEILtheOxURxpbTA,4.5,https://www.yelp.com/biz/roxborough-state-park-littleton?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.42,-105.06,#N/A,39.42-105.06,#N/A
Skyline Park,j8XoHiX15bMu88TPqCjOfA,4,https://www.yelp.com/biz/skyline-park-denver?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.75,-105,#N/A,39.75-105,#N/A
Rocky Mountain National Park,ukaniucXQBk89IENmBRXdQ,5,https://www.yelp.com/biz/rocky-mountain-national-park-estes-park-5?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,40.38,-105.52,Rocky Mountain National Park,40.38-105.52,#N/A
Bear Peak Trail,9LBIE5aHCTJVucwlcxQMUw,4.5,https://www.yelp.com/biz/bear-peak-trail-boulder?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.98,-105.28,#N/A,39.98-105.28,#N/A
Aspire Tours,wpO2mK4yhdOBqjBYB9QrLw,5,https://www.yelp.com/biz/aspire-tours-wheat-ridge?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.77,-105.06,#N/A,39.77-105.06,#N/A
Sculpture Park,EOMLpIU2SBCtyUMWDcTpng,3,https://www.yelp.com/biz/sculpture-park-denver?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.74,-105,#N/A,39.74-105,#N/A
Chief Hosa Lodge & Campground,V6japQIcGqHvhTF5vFgDXQ,2.5,https://www.yelp.com/biz/chief-hosa-lodge-and-campground-golden?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CO,US,39.71,-105.31,#N/A,39.71-105.31,#N/A
